"IDENTIFICADOR_NOTA_FISCAL";"NUMERO_ITEM";"CODIGO_PRODUTO";"QUANTIDADE";"VALOR_UNITARIO";"VALOR_TOTAL"
1477875613;1;35172;1;7.83;7.83
1477875615;2;49547;1;7.69;7.69
1477875615;1;6537;1;13.1;13.1
1477875616;2;32475;3;1.35;4.05
1477875616;3;21466;1;1.35;1.35
1477875616;1;2238;1;36.55;36.55
1477875624;4;45886;1;2.99;2.99
1477875624;3;45886;1;2.99;2.99
1477875624;1;39249;1;2.65;2.65
1477875624;2;50999;1;15.39;15.39
1477875624;6;49346;1;73.4;73.4
1477875624;5;45886;1;2.99;2.99
1477875626;2;17621;1;31.24;31.24
1477875626;3;98360;1;20.42;20.42
1477875626;4;98360;1;20.42;20.42
1477875626;1;17621;1;31.24;31.24
1477875630;3;51756;1;39.9;39.9
1477875630;1;72849;1;12.49;12.49
1477875630;2;17247;1;10.99;10.99
1477875630;4;467;1;59.3;59.3
1477875631;1;39485;1;2.11;2.11
1477875631;2;28933;1;7.69;7.69
1477875632;1;35450;1;7.39;7.39
1477875633;1;75836;1;5.89;5.89
1477875638;1;23142;1;50.02;50.02
1477875639;1;88894;1;45.83;45.83
